id,earmark_id,raw_name,crp_id,standardized_name,chamber,party,state,district
36247,20808,Stabenow,N00004118,Deborah Ann Stabenow,s,"","",
58795,34029,Stabenow,N00004118,Deborah Ann Stabenow,s,"","",
58956,34059,Stabenow,N00004118,Deborah Ann Stabenow,s,"","",
48089,27529,"Rogers, Michael (AL)",N00024759,Mike D Rogers,h,R,AL,
50576,29089,"Rogers, Michael (AL)",N00024759,Mike D Rogers,h,R,AL,
52278,30208,"Rogers, Michael (AL)",N00024759,Mike D Rogers,h,R,AL,
52832,30523,"Rogers, Michael (AL)",N00024759,Mike D Rogers,h,R,AL,
52945,30585,"Rogers, Michael (AL)",N00024759,Mike D Rogers,h,R,AL,
57325,33140,"Rogers, Michael (AL)",N00024759,Mike D Rogers,h,R,AL,
9556,4572,Jackson Lee,"",Jackson Lee,h,D,TX,
8864,4196,Hodes,"",Hodes,h,D,NH,
8881,4205,Hodes,"",Hodes,h,D,NH,
8882,4206,Hodes,"",Hodes,h,D,NH,
24886,14398,Hodes,"",Hodes,h,D,NH,
33385,19402,Hodes,"",Hodes,h,D,NH,
50729,29165,Hodes,"",Hodes,h,D,NH,
53751,31057,Hodes,"",Hodes,h,D,NH,
53752,31058,Hodes,"",Hodes,h,D,NH,
56042,32513,Hodes,"",Hodes,h,D,NH,
4291,1903,Alexander,N00009888,Lamar Alexander,s,R,TN,
4294,1904,Alexander,N00009888,Lamar Alexander,s,R,TN,
4518,1976,Alexander,N00009888,Lamar Alexander,s,R,TN,
4519,1977,Alexander,N00009888,Lamar Alexander,s,R,TN,
4521,1979,Alexander,N00009888,Lamar Alexander,s,R,TN,
4523,1980,Alexander,N00009888,Lamar Alexander,s,R,TN,
5288,2345,Alexander,N00009888,Lamar Alexander,s,R,TN,
20422,11534,Alexander,N00009888,Lamar Alexander,s,R,TN,
33577,19523,"Young, Don",N00007999,Don Young,h,R,AK,
60118,34761,"Young, Don",N00007999,Don Young,h,R,AK,
17798,9591,"Young, Don",N00007999,Don Young,h,R,AK,
17799,9592,"Young, Don",N00007999,Don Young,h,R,AK,
17802,9593,"Young, Don",N00007999,Don Young,h,R,AK,
17804,9594,"Young, Don",N00007999,Don Young,h,R,AK,
17807,9595,"Young, Don",N00007999,Don Young,h,R,AK,
17808,9596,"Young, Don",N00007999,Don Young,h,R,AK,
17811,9600,"Young, Don",N00007999,Don Young,h,R,AK,
