id,earmark_id,city,state
1,2,Honolulu,HI
2,3,Honolulu,HI
3,4,Honolulu,HI
4,5,"",HI
5,6,Honolulu,HI
6,7,Honolulu,HI
7,8,Honolulu,HI
8,9,Honolulu,HI
9,12,Aiea,HI
10,13,Honolulu,HI
11,15,Kahuku Training Area,HI
12,16,"",HI
13,17,St. Simons Island,GA
14,18,"",HI
15,18,"",""
16,19,Berkeley,""
17,21,Camp Pendleton,CA
18,22,Camp Pendleton,CA
19,23,Camp Pendleton,CA
20,24,"",HI
21,24,"",""
22,25,Honolulu,HI
23,26,Honolulu,HI
24,27,Honolulu,HI
25,28,"",HI
26,30,Hilo,HI
27,31,Honolulu,HI
28,32,Largo,FL
29,32,Miliani,HI
30,33,Hempstead,NY
31,34,"",NY
32,35,"",NY
33,36,Flushing,NY
34,37,Queens,NY
35,38,"",NY
36,39,Flushing,NY
37,40,Flushing,NY
38,41,Glen Oaks,NY
39,42,"ANG Base, Gabreski Airport",NY
40,43,Melville,NY
41,45,Altoona,AL
42,46,Arab,AL
43,47,Albertville,AL
44,48,Decatur,AL
45,49,Gadsden,AL
46,50,"",AL
47,51,Rainsville,AL
48,53,"",AL
49,54,Jasper,AL
50,55,Jasper,AL
51,56,"",AL
52,57,Huntsville,AL
53,58,"",FL
54,59,"",AL
55,60,"",AL
56,61,Phil Campbell,AL
57,62,Red Bay,AL
58,63,"",AL
59,64,"",AL
60,67,Glencoe,AL
61,68,"",AL
62,69,Abilene,TX
63,70,Tuscaloosa,AL
64,71,Montevallo,AL
65,72,Hanceville,AL
66,73,Huntsville,AL
67,74,Birmingham,AL
68,75,Decatur,AL
69,75,Dublin,CA
70,75,Stamford,CT
71,75,West Valley City,UT
72,75,Kent,WA
73,76,Auburn,AL
74,77,"",AL
75,77,"",CA
76,77,"",GA
77,77,"",MA
78,77,"",NC
79,77,"",NY
80,77,"",PA
81,77,"",SC
82,78,Decatur,AL
83,79,Huntsville,AL
84,80,"",AL
85,81,Hamilton,AL
86,82,"",AL
87,83,Huntsville,AL
88,84,Camp Lejeune,NC
89,85,Guntersville,AL
90,85,South Tucson,AZ
91,86,Gadsen,AL
92,87,Auburn,AL
93,88,"",MO
94,91,Earth City,MO
95,92,St. Louis,MO
96,93,"",MO
97,94,"",MO
98,95,"",MO
99,97,Joplin,MO
100,98,St. Louis,MO
101,99,"",IA
102,99,"",IL
103,99,"",MN
104,99,"",MO
105,100,St. Louis,MO
106,101,West Plains,MO
107,101,St. Louis,MO
108,102,Westlake,OH
109,103,Everett,WA
110,104,St. Charles,MO
111,107,Alexandria,LA
112,108,"",LA
113,109,Bastrop,LA
114,110,"",LA
115,111,Jonesboro,LA
116,112,"",LA
117,113,"",CA
118,113,"",NV
119,113,"",UT
120,114,Lincoln Parish,LA
121,115,"",LA
122,116,"",LA
123,117,Monroe,LA
124,118,Ruston,LA
125,119,Columbia,MD
126,120,"",LA
127,121,Monroe,LA
128,122,"",LA
129,123,"",LA
130,124,Alexandria,LA
